,Content Type,Track Identifier,Title,Sort Name,Artist,Sort Artist,Composer,Is Part of Compilation,Album,Sort Album,Album Artist,Genre,Grouping,Comments,Track Year,Track Number On Album,Track Count On Album,Disc Number Of Album,Disc Count Of Album,Beats Per Minute,Track Duration,Track Play Count,Date Added To Library,Date Added To iCloud Music Library,Last Modified Date,Last Played Date,Rating,Album Rating,Skip Count,Date of Last Skip,Is Purchased,Audio File Extension,Remember Playback Position,Album Like Rating,Track Like Rating,Album Rating Method,Is Checked,Copyright,Work Name,Movement Name,Movement Number,Movement Count,Release Date,Display Work Name,Purchased Track Identifier,Apple Music Track Identifier,Tag Matched Track Identifier,Playlist Only Track,Purchase Date,Sort Album Artist,Audio Matched Track Identifier,Sort Composer
0,Song,182857262,Never Gonna Give You Up,Never Gonna Give You Up,Rick Astley,Rick Astley,Stock Aitken Waterman,FALSE,Whenever You Need Somebody,Whenever You Need Somebody,Rick Astley,Pop,,,1987,1,10,1,1,0,215240,86,2016-10-01T01:30:21Z,2016-10-01T01:30:21Z,2016-10-01T02:30:21Z,2021-12-10T05:47:34Z,0,0,10,2021-05-27T22:07:41Z,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,,,,0,0,,0,1549351122,1549351122,,,,,,
1,Song,182857266,Lay Me Down,Lay Me Down,Sam Smith,Sam Smith,"Sam Smith, James Napier & Elvin Smith",FALSE,In the Lonely Hour,In the Lonely Hour,Sam Smith,Pop,,,2013,10,10,1,1,,253208,0,2016-10-01T01:31:08Z,2016-10-01T01:31:08Z,2016-10-01T01:31:08Z,,,,0,,FALSE,m4a,,,,,FALSE,"℗ 2014 Capitol Records, a division of Universal Music Operations Limited",,,,,2013-02-15T00:00:00Z,,792657462,792657462,,,,,,
2,Song,182857270,Everybody Wants To Rule the World,Everybody Wants To Rule the World,Tears for Fears,Tears for Fears,"Ian Stanley, Roland Orzabal & Christopher Merrick Hughes",FALSE,Songs From the Big Chair,Songs From the Big Chair,Tears for Fears,Pop,,,2014,3,8,1,1,0,251480,56,2016-10-01T01:31:28Z,2016-10-01T01:31:28Z,2016-10-01T01:31:28Z,2021-10-03T17:51:03Z,0,0,3,2020-06-12T18:33:41Z,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,℗ 2014 Mercury Records Limited,,,0,0,1985-02-25T04:00:00Z,0,911636220,911636220,911636220,,,,,
3,Song,182857474,Everyday People,Everyday People,Sly & The Family Stone,Sly & The Family Stone,Sylvester Stewart,TRUE,The Essential Sly & The Family Stone,Essential Sly & The Family Stone,Sly & The Family Stone,R&B/Soul,,,2002,14,18,1,2,0,141267,47,2016-10-01T01:32:13Z,2016-10-01T01:32:13Z,2016-10-01T02:32:13Z,2021-12-14T03:17:54Z,0,0,2,2017-08-08T19:41:32Z,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,℗ This compilation (P) 2003 Sony Music Entertainment,,,0,0,1968-11-01T00:00:00Z,0,193126391,193126391,261151045,,,,,
4,Song,182857478,Dancing Queen,Dancing Queen,ABBA,ABBA,"Benny Andersson, Stig Anderson & Björn Ulvaeus",TRUE,ABBA Gold,ABBA Gold,ABBA,Pop,,,1992,1,19,1,1,0,231844,43,2016-10-01T01:32:28Z,2016-10-01T01:32:28Z,2016-10-01T01:32:28Z,2021-11-03T15:32:58Z,0,0,3,2019-04-24T15:41:00Z,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,℗ 2014 Polar Music International AB,,,0,0,1976-08-15T00:00:00Z,0,840609629,840609629,281280714,,,,,
5,Song,182857482,Take a Chance On Me,Take a Chance On Me,ABBA,ABBA,Benny Andersson & Björn Ulvaeus,TRUE,ABBA Gold,ABBA Gold,ABBA,Pop,,,1992,3,19,1,1,0,244954,36,2016-10-01T01:32:48Z,2016-10-01T01:32:48Z,2016-10-01T01:32:48Z,2021-10-05T18:07:36Z,0,0,2,2021-07-14T17:55:57Z,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,℗ 2014 Polar Music International AB,,,0,0,1977-12-12T04:00:00Z,0,840609634,840609634,840609634,,,,,
6,Song,182857486,Mamma Mia (Spanish Version),Mamma Mia (Spanish Version),ABBA,ABBA,"Benny Andersson, Stig Anderson & Björn Ulvaeus",FALSE,Gracias por la Música (Deluxe),Gracias por la Música (Deluxe),ABBA,Pop,,,1980,7,15,1,1,,212833,31,2016-10-01T01:32:51Z,2016-10-01T01:32:51Z,2016-10-01T01:32:51Z,2018-12-18T13:03:31Z,,,3,2017-05-09T16:39:27Z,FALSE,m4a,,,,,FALSE,℗ 2014 Polar Music International AB,,,,,1980-04-05T04:00:00Z,,930691551,930691551,,,,,,
7,Song,182857490,Lay All Your Love On Me,Lay All Your Love On Me,ABBA,ABBA,Björn Ulvaeus & Benny Andersson,FALSE,Super Trouper,Super Trouper,ABBA,Pop,,,1980,9,11,1,1,0,274867,28,2016-10-01T01:32:53Z,2016-10-01T01:32:53Z,2016-10-01T01:32:53Z,2022-01-16T19:54:00Z,0,0,4,2021-09-23T17:39:49Z,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,℗ 2014 Polar Music International AB,,,0,0,1980-11-03T00:00:00Z,0,840607044,840607044,,,,,,
8,Song,182857494,The Winner Takes It All,Winner Takes It All,ABBA,ABBA,Benny Andersson & Björn Ulvaeus,TRUE,ABBA Gold,ABBA Gold,ABBA,Pop,,,1992,8,19,1,1,0,294806,29,2016-10-01T01:32:55Z,2016-10-01T01:32:55Z,2016-10-01T01:32:55Z,2021-09-03T21:37:37Z,0,0,4,2021-05-10T20:40:08Z,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,℗ 2014 Polar Music International AB,,,0,0,1980-07-21T05:00:00Z,0,840609644,840609644,208419372,,,,,
9,Song,182857498,"Money, Money, Money","Money, Money, Money",ABBA,ABBA,Benny Andersson & Björn Ulvaeus,FALSE,Arrival,Arrival,ABBA,Pop,,,1976,6,12,1,1,0,186070,36,2016-10-01T01:32:59Z,2016-10-01T01:32:59Z,2016-10-01T01:32:59Z,2021-09-09T17:36:25Z,0,0,6,2021-07-22T18:30:04Z,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,℗ 2014 Polar Music International AB,,,0,0,1976-10-11T05:00:00Z,0,840607126,840607126,,,,,,
